eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Moon,FALSE,384400,363300,405500,0.0549,5.145,3.344,1.62,2380,33,1738.1,1736,0.0012,NA,27.3217,655.728,NA,7.35E+22,21968000000,Secondary,Earth,NA,NA,NA,1.811589490114460,326.08610822060400,2.24586009581551E-09,3.86842105263158E-05,0.0025695552897999900,6606323854573963e10
Phobos,FALSE,9376,9234,9518,0.0151,1.075,1.9,0.0057,11.39,33,13,9.1,0,26.8 x 22.4 x 18.4,0.31891,0.7653,12/08/1877,1.06E+16,5783.61,Secondary,Mars,NA,NA,NA,74.2720776450512,13368.973976109200,2.24586009581551E-09,5.57894736842105E-12,6.2674688858389E-05,16014373256386214e6
Deimos,FALSE,23458,23456,23471,2E-04,1.075,1.75,0.003,5.556,33,7.8,5.1,0,15.0 x 12 x 10.4,1.26244,30.29856,12/08/1877,2.4E+15,9997.8,Secondary,Mars,NA,NA,NA,29.6860346150567,5343.486230710210,2.24586009581551E-09,1.26315789473684E-12,1.56807044714173E-04,5792533532210834e5
Io,FALSE,421800,0,0,0.004,0.036,3.53,1.79,0,1821.5,0,0,0,NA,1.76914,42.4593,07/01/1610,8.93E+22,NA,Secondary,Jupiter,NA,NA,NA,1.6552003319108600,297.93605974395400,6.84247422469023E-06,4.7E-05,0.0028195588481728300,6666188450185605e10
Europa,FALSE,671100,0,0,0.009,0.466,3.01,1.31,0,1560.8,0,0,0,NA,3.55118,85.2293,08/01/1610,4.8E+22,NA,Secondary,Jupiter,NA,NA,NA,1.0399386082551000,187.18894948591900,5.02399654116275E-06,2.52631578947368E-05,0.004486026417754350,1415487499855953e10
Ganymede,FALSE,1070400,0,0,0.001,0.177,1.94,1.428,0,2631.2,0,0,0,NA,7.15455,171.7093,11/01/1610,1.48E+23,NA,Secondary,Jupiter,NA,NA,NA,0.6530018684603890,117.54033632287000,1.42778409547379E-05,7.78947368421053E-05,0.007155182055676150,17155713830070088e9
Callisto,FALSE,1882700,0,0,0.007,0.192,1.83,1.235,0,2410.3,0,0,0,NA,16.68902,400.536,07/01/1610,1.08E+23,NA,Secondary,Jupiter,NA,NA,NA,0.3711437297498270,66.80587135496890,1.1981109034281E-05,5.68421052631579E-05,0.012585072175094800,4046697946474468e9
Amalthea,FALSE,181400,181150,182840,0.003,0.38,3.1,0.02,0,84,0,0,0,125 x 73 x 64,0.49818,11.9563,09/09/1892,7.5E+18,NA,Secondary,Jupiter,NA,NA,NA,3.839173098125690,691.0511576626240,1.45516885547054E-08,3.94736842105263E-09,0.001212584103979500,30270944837956404e6
Himalia,FALSE,11461000,9782900,13082000,0.162,27.5,1,0.062,0,85,0,0,0,NA,250.5662,7.7808,03/12/1904,9.5E+18,NA,Secondary,Jupiter,NA,NA,NA,0.060764941977139900,10.937689555885200,1.4900219643955E-08,5E-09,0.07661205300831870,960545316898533e4
Elara,FALSE,11741000,0,0,0.217,26.63,1,0.031,0,40,0,0,0,NA,259.6528,0,02/01/1905,8E+17,NA,Secondary,Jupiter,NA,NA,NA,0.0593119836470488,10.676157056468800,3.29970262011461E-09,4.21052631578947E-10,0.07848373740255380,770759860780489500
Pasiphae,FALSE,23624000,0,0,0.409,151.4,1,0.022,0,18,0,0,0,NA,743.6,0,27/01/1908,3E+17,NA,Secondary,Jupiter,NA,NA,NA,0.029476803250931300,5.305824585167630,6.68189780573209E-10,1.57894736842105E-10,0.15791668617647000,71392676769559070
Sinope,FALSE,23939000,0,0,0.25,158.1,1,0.014,0,14,0,0,0,NA,758.9,0,21/07/1914,8E+16,NA,Secondary,Jupiter,NA,NA,NA,0.02908876728351230,5.235978111032210,4.0421357096404E-10,4.21052631578947E-11,0.16002233111998400,18540321305986716
Lysithea,FALSE,11717000,0,0,0.112,28.3,1,0.013,0,12,0,0,0,NA,259.22,0,06/07/1938,8E+16,NA,Secondary,Jupiter,NA,NA,NA,0.05943108304173420,10.697594947512200,2.96973235810315E-10,4.21052631578947E-11,0.07832330731161940,77392059845774380
Carme,FALSE,23404000,0,0,0.253,164.9,1,0.017,0,15,0,0,0,NA,734.2,0,30/07/1938,1E+17,NA,Secondary,Jupiter,NA,NA,NA,0.02975376004101860,5.355676807383350,4.64020680953617E-10,5.26315789473684E-11,0.15644607700957100,24247060709843932
Ananke,FALSE,21276000,0,0,0.244,148.9,1,0.01,0,10,0,0,0,NA,629.8,0,28/09/1951,4E+16,NA,Secondary,Jupiter,NA,NA,NA,0.032729460424891900,5.891302876480540,2.06231413757163E-10,2.10526315789474E-11,0.14222127561338300,11735978541597322
Leda,FALSE,11165000,0,0,0.164,27.46,1,0.0073,0,5,0,0,0,NA,240.92,0,11/09/1974,6E+17,NA,Secondary,Jupiter,NA,NA,NA,0.062368741603224400,11.226373488580400,5.15578534392908E-11,3.1578947368421E-10,0.0746334152201272,639253440785321500
Thebe,FALSE,221900,218000,226000,0.018,1.08,1,0.02,0,49,0,0,0,58 x 49 x 42,0.6745,16.188,05/03/1979,8E+17,NA,Secondary,Jupiter,NA,NA,NA,3.138310049571880,564.8958089229380,4.95161624430949E-09,4.21052631578947E-10,0.0014833098824313700,21578172532235732e5
Adrastea,FALSE,129000,0,0,0.002,0.054,1,0.002,0,8,0,0,0,10 x 8 x 7,0.29826,0.7158,08/07/1979,2E+15,NA,Secondary,Jupiter,NA,NA,NA,5.398062015503880,971.6511627906980,1.31988104804585E-10,1.05263157894737E-12,8.6231173877263E-04,15962093624181238e3
Metis,FALSE,128000,127974,128026,0.001,0.019,1,0.005,0,22,0,0,0,30 x 20 x 17,0.29478,0.7075,04/03/1979,1E+17,NA,Secondary,Jupiter,NA,NA,NA,5.44034375,979.261875,9.9816004258467E-10,5.26315789473684E-11,8.55627151650361E-04,8106237792968749e5
Callirrhoe,FALSE,24102000,0,0,0.283,147.1,1,0.0031,0,4,0,0,0,NA,758.8,0,06/10/1999,870000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02889162725085060,5.2004929051531,3.29970262011461E-11,4.57894736842105E-13,0.16111191882091400,198908053353118.12
